,x,y,sig_xx,sig_xy,sig_yy,sig_nn,sig_nt,f_y,shape_deriv,C
1070,6.216970106282827,0.007765456957186337,1.1711634398581587,0.04895883265845235,0.024431286178576476,0.022942982257778695,0.026231017637348128,0.02345760273545673,-0.01979394837833966,0.07278077515038467
1071,6.223045934381489,0.007643784867333982,1.1683477496545787,0.05016075022911483,0.0240700956111842,0.02250812890836628,0.026950649884038433,0.023049312502755506,-0.020255977856248525,0.07749352343809823
1072,6.228506218060082,0.007532062352892897,1.1659331280332916,0.051217170609144685,0.02388458669777502,0.022256184561792586,0.027583193933677332,0.022821316406599904,-0.02066490746288889,0.07416976353484546
1073,6.234663198575698,0.007403427966064918,1.1629929443968077,0.05232139109890475,0.02353985571627109,0.02183888961017573,0.02822168665226541,0.022429893988979727,-0.021118713797438078,0.07123562908400911
1074,6.2401934858896,0.007285523945080172,1.1603046833879291,0.053373490998463106,0.02324704895479343,0.021477279994410053,0.02886638445671168,0.02209335790079977,-0.021519598214009915,0.0754078018281194
1075,6.246135262173723,0.007156397286592493,1.157367196171825,0.05439258397224342,0.022883255015044388,0.02104331261578028,0.02945815164815777,0.02168449494778244,-0.021943069170954257,0.06632706822192584
1076,6.252015886841599,0.007026144491867903,1.154444012437374,0.05539350752469316,0.02253650143315049,0.020626499366739447,0.03004741058710123,0.021292879114350367,-0.02235465426799663,0.0731721330804079
1077,6.257586050478643,0.00690055620661166,1.1516426436010465,0.05630345640434167,0.02222064463781917,0.02024517207027021,0.030578334406436116,0.020935035260000526,-0.022737476390485106,0.06581891689549396
1078,6.263728331397273,0.006759620201509752,1.148499262277778,0.05734767766887949,0.021929861921165934,0.019879421004872774,0.031218389332683037,0.02059665571926719,-0.023151542038318602,0.06714488294681131
1079,6.269178612723255,0.006632452825998717,1.1457278418072492,0.058157983264019525,0.0216719382366578,0.019559695154920727,0.0316798065129584,0.020298932772940148,-0.02351174484285975,0.06663076989619454
1080,6.275287046477937,0.006487620568421829,1.142556284861588,0.05906098409019426,0.021407077354354754,0.019225153495450037,0.03220523008338199,0.019989380149123295,-0.02390724732859155,0.06122874302538556
1081,6.280927903838313,0.006351751776527652,1.1395590079739315,0.05997194173478614,0.021146170031813818,0.01889558973452443,0.03277942626797474,0.01968517712417755,-0.024264660065264097,0.06648081423643756
